117,"ניר ח""ן"
125,סדום
133,חצבה
158,נועם
166,בית ניר
182,שדה משה
216,באר אורה
224,מקווה ישראל
232,אמציה
240,לכיש
265,ראש פינה
273,שדות מיכה
281,מזכרת בתיה
299,יסוד המעלה
315,אופקים
323,עוצם
331,בת שלמה
356,גדות
364,שדה דוד
372,איתן
380,כרי דשא
398,גפן
406,מוצא תחתית
414,אליכין
430,מטולה
448,זוהר
463,יבנאל
471,כפר תבור
489,מנחמיה
497,אילניה
505,גבעת עדה
521,לוזית
539,עתלית
554,נוגה
570,כנרת (קבוצה)
588,מצפה
596,נחושה
620,דגניה א'
638,כנרת (מושבה)
646,"יד רמב""ם"
653,מגדל
661,מרחביה (קיבוץ)
679,אור הנר
695,